1	20	0
2	50	20
3	50	70
4	50	120
5	80	170
6	120	250
7	125	370
8	130	495
9	145	625
10	200	770
11	220	970
12	280	1,190
13	300	1,470
14	350	1,770
15	450	2,120
16	550	2,570
17	650	3,120
18	800	3,770
19	1,200	4,570
20	1,400	5,770
21	1,600	7,170
22	2,000	8,770
23	2,300	10,770
24	2,700	13,070
25	3,000	15,770
26	4,000	18,770
27	4,600	22,770
28	5,400	27,370
29	6,000	32,770
30	7,000	38,770
31	8,000	45,770
32	9,000	53,770
33	11,000	62,770
34	12,500	73,770
35	12,500	86,270
36	12,500	98,770
37	12,500	111,270
38	15,000	123,770
39	18,000	138,770
40	22,000	156,770
41	25,000	178,770
42	25,000	203,770
43	25,000	228,770
44	25,000	253,770
45	25,000	278,770
46	25,000	303,770
47	25,000	328,770
48	25,000	353,770
49	25,000	378,770
50	N/A	403,770
